filename,Solve,Parse,Eval,Steps
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_usb_phy_ab_reg_max.smt2,0.262,3.053,Eval: 1.821.,61
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_synapse.7.prop1_ab_reg_max.smt2,2.135,5.888,Eval: 0.819.,749
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_adding.6.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.4.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_fischer.4.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.5.prop5_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_gear.2.prop2_ab_reg_max.smt2,0.730,5.403,Eval: 1.409.,363
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_fischer.6.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_elevator_planning.2.prop1_ab_reg_max.smt2,0.174,0.686,Eval: 1.385.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_lann.5.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.3.prop3_ab_reg_max.smt2,0.677,5.830,Eval: 1.427.,334
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp.4.prop1_ab_reg_max.smt2,0.192,0.613,Eval: 1.019.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.5.prop6_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_h_TicTacToe_ab_reg_max.smt2,0.559,7.723,Eval: 2.505.,1523
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.3.prop2_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_peterson.5.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_driving_phils.5.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_peg_solitaire.6.prop1_ab_fp_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_fischer.2.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_reader_writer.1.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_collision.2.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_bridge.2.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.1.prop2_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.2.prop5_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_lup.1.prop1_ab_reg_max.smt2,0.215,0.684,Eval: 2.082.,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_plc.3.prop2_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_at.4.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.1.prop1_ab_reg_max.smt2,0.917,4.764,Eval: 1.656.,211
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sokoban.2.prop1_ab_br_max.smt2,1.604,7.823,Eval: 2.976.,4574
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_train-gate.7.prop1_ab_reg_max.smt2,0.328,0.920,Eval: 2.340.,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_bakery.2.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_telephony.7.prop1_ab_reg_max.smt2,1.252,6.269,Eval: 0.942.,681
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.6.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_elevator.5.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_synapse.4.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_anderson.5.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.1.prop1_ab_reg_max.smt2,2.778,5.060,Eval: 1.772.,2734
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.3.prop2_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_loyd.2.prop1_ab_br_max.smt2,0.616,8.109,Eval: 2.506.,2102
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_leader_filters.2.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_telephony.1.prop1_ab_reg_max.smt2,0.266,1.059,Eval: 2.167.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_frogs.4.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.3.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.4.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pouring.2.prop1_ab_reg_max.smt2,0.296,1.004,Eval: 2.383.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_hanoi.2.prop1_ab_br_max.smt2,1.461,7.067,Eval: 2.157.,2652
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_telephony.3.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_needham.4.prop3_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.1.prop2_ab_reg_max.smt2,sat,,,
